,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
31,"frozenset({'solanum surattense', 'triphala'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
32,frozenset({'alpinia galanga'}),"frozenset({'solanum surattense', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
33,frozenset({'solanum surattense'}),"frozenset({'alpinia galanga', 'triphala'})",0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
34,"frozenset({'trikatu', 'alpinia galanga'})",frozenset({'solanum surattense'}),0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
35,"frozenset({'trikatu', 'solanum surattense'})",frozenset({'alpinia galanga'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
36,frozenset({'alpinia galanga'}),"frozenset({'trikatu', 'solanum surattense'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
37,frozenset({'solanum surattense'}),"frozenset({'trikatu', 'alpinia galanga'})",0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
38,"frozenset({'solanum trilobatum', 'triphala'})",frozenset({'solanum surattense'}),0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
39,"frozenset({'solanum surattense', 'triphala'})",frozenset({'solanum trilobatum'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
40,frozenset({'solanum trilobatum'}),"frozenset({'solanum surattense', 'triphala'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
41,frozenset({'solanum surattense'}),"frozenset({'solanum trilobatum', 'triphala'})",0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
42,"frozenset({'trikatu', 'solanum trilobatum'})",frozenset({'solanum surattense'}),0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,7.0,0.12244897959183673,inf,1.0
43,"frozenset({'trikatu', 'solanum surattense'})",frozenset({'solanum trilobatum'}),0.14285714285714285,0.19047619047619047,0.14285714285714285,1.0,5.25,0.11564625850340135,inf,0.9444444444444444
44,frozenset({'solanum trilobatum'}),"frozenset({'trikatu', 'solanum surattense'})",0.19047619047619047,0.14285714285714285,0.14285714285714285,0.75,5.25,0.11564625850340135,3.428571428571429,1.0
